;CNPJ;NOME;ENDERECO;NUMERO;COMPLEMENTO;BAIRRO;MUNICIPIO;UF;PRODUTO;VALOR_VENDA;DATA_CADASTRO
0;00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER;645;;CENTRO;TRES LAGOAS;MS;Gasolina C Comum;4.4400;28/06/2018
1;00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER;645;;CENTRO;TRES LAGOAS;MS;Etanol;3.4800;28/06/2018
2;00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER;645;;CENTRO;TRES LAGOAS;MS;Diesel S500;3.6400;28/06/2018
3;00062780000102;AUTO POSTO PARATI;AVENIDA FILINTO MULLER;645;;CENTRO;TRES LAGOAS;MS;Diesel S10;3.7300;28/06/2018
4;00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163;S/N;KM 786;ZONA RURAL;COXIM;MS;Gasolina C Comum;4.3500;09/12/2018
5;00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163;S/N;KM 786;ZONA RURAL;COXIM;MS;Etanol;3.6000;09/12/2018
6;00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163;S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S500;3.5000;09/12/2018
7;00300357000195;POSTO E TRANSPORTADORA PEGORARO;RODOVIA BR 163;S/N;KM 786;ZONA RURAL;COXIM;MS;Diesel S10;3.6000;09/12/2018
8;00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ;315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Gasolina C Comum;4.2900;28/11/2018
9;00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ;315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Etanol;3.4900;28/11/2018
10;00360990000179;POSTO DOS ANOES LTDA;QUADRA SHC/SUL SQ;315;BLOCO A PLL 01;ASA SUL;BRASILIA;DF;Diesel S10;4.0500;28/11/2018
11;00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA;200;;CENTRO;SAO LUIS;MA;Gasolina C Comum;4.1700;13/11/2018
12;00480284000160;POSTO CENTRAL;AVENIDA GUAXENDUBA;200;;CENTRO;SAO LUIS;MA;Diesel S10;3.6600;13/11/2018
13;00593430000164;AUTO POSTO BRINATI;LINHA MC-06;6190;TERREO;INDUSTRIAL;MACHADINHO D'OESTE;RO;Gasolina C Comum;4.8000;04/07/2018
14;00593430000164;AUTO POSTO BRINATI;LINHA MC-06;6190;TERREO;INDUSTRIAL;MACHADINHO D'OESTE;RO;Diesel S500;3.7800;04/07/2018
15;00593430000245;AUTO POSTO BRINATI;LINHA SME 02;S/N;KM 72 - LOTE 01 - QUADRA 01 - N⁄CLEO SANTA MARIA;ZONA RURAL;MACHADINHO D'OESTE;RO;Gasolina C Comum;4.8000;06/08/2018
16;00593430000245;AUTO POSTO BRINATI;LINHA SME 02;S/N;KM 72 - LOTE 01 - QUADRA 01 - N⁄CLEO SANTA MARIA;ZONA RURAL;MACHADINHO D'OESTE;RO;Diesel S500;3.8100;06/08/2018
17;00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA;601;;JARDIM BRASIL;CAMPO GRANDE;MS;Gasolina C Comum;4.2600;21/11/2018
18;00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA;601;;JARDIM BRASIL;CAMPO GRANDE;MS;Etanol;3.3000;21/11/2018
19;00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA;601;;JARDIM BRASIL;CAMPO GRANDE;MS;Diesel S500;3.6000;21/11/2018
20;00860197000139;POSTO NOSSA SENHORA DA CONCEICAO;RUA EDUARDO SANTOS PEREIRA;601;;JARDIM BRASIL;CAMPO GRANDE;MS;Diesel S10;3.7000;21/11/2018
21;00976256000139;CEU 070 COMBUSTIVEIS LTDA;LOTE 499 GLEBA 04 PROJ INTEG;S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Gasolina C Comum;4.6900;09/10/2018
22;00976256000139;CEU 070 COMBUSTIVEIS LTDA;LOTE 499 GLEBA 04 PROJ INTEG;S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Diesel S500;3.8000;09/10/2018
23;00976256000139;CEU 070 COMBUSTIVEIS LTDA;LOTE 499 GLEBA 04 PROJ INTEG;S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Diesel S10;3.9000;09/10/2018
24;00976256000139;CEU 070 COMBUSTIVEIS LTDA;LOTE 499 GLEBA 04 PROJ INTEG;S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;Etanol;3.3000;09/10/2018
25;01088431000114;POSTO SAMBAREIA;ACESSO BR 316 KM 27;S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;Gasolina C Comum;4.7000;11/04/2019
26;01088431000114;POSTO SAMBAREIA;ACESSO BR 316 KM 27;S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;Diesel S500;3.5300;28/03/2019
27;01088431000114;POSTO SAMBAREIA;ACESSO BR 316 KM 27;S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;Diesel S10;3.5500;28/03/2019
28;01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ;1;GLEBA 1 QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Gasolina C Comum;4.3000;23/01/2019
29;01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ;1;GLEBA 1 QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Etanol;2.9000;19/02/2019
30;01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ;1;GLEBA 1 QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;GNV;3.0000;19/02/2019
31;01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ;1;GLEBA 1 QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Diesel S500;3.6000;23/01/2019
32;01109449000155;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ;1;GLEBA 1 QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;Diesel S10;3.7000;23/01/2019
33;01138114000165;POSTO JK;RODOVIA BR 040 KM 102;S N;;;CRISTALINA;GO;Gasolina C Comum;4.7400;17/04/2019
34;01138114000165;POSTO JK;RODOVIA BR 040 KM 102;S N;;;CRISTALINA;GO;Etanol;3.1900;17/04/2019
35;01138114000165;POSTO JK;RODOVIA BR 040 KM 102;S N;;;CRISTALINA;GO;Diesel S500;3.7200;18/04/2019
36;01138114000165;POSTO JK;RODOVIA BR 040 KM 102;S N;;;CRISTALINA;GO;Diesel S10;3.7900;18/04/2019
37;01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO;83;;SAMPAIO;PIRES DO RIO;GO;Gasolina C Comum;4.7200;10/08/2018
38;01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO;83;;SAMPAIO;PIRES DO RIO;GO;Etanol;2.9900;10/08/2018
39;01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO;83;;SAMPAIO;PIRES DO RIO;GO;Diesel S500;3.4900;10/08/2018
40;01182484000108;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO;83;;SAMPAIO;PIRES DO RIO;GO;Diesel S10;3.5900;10/08/2018
41;01308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116;14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;Gasolina C Comum;4.3900;25/09/2018
42;01308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116;14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;Diesel S500;3.4700;25/09/2018
43;01308133000273;POSTO TRES FAZENDAS;RODOVIA BR 116;14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;Diesel S10;3.5700;25/09/2018
44;01332532000199;AUTO POSTO MILENIO LTDA;RUA BAHIA;1408;;VILA ROSA;CAMPO GRANDE;MS;Gasolina C Comum;4.1000;15/04/2019
45;01332532000199;AUTO POSTO MILENIO LTDA;RUA BAHIA;1408;;VILA ROSA;CAMPO GRANDE;MS;Etanol;3.3000;15/04/2019
46;01332532000199;AUTO POSTO MILENIO LTDA;RUA BAHIA;1408;;VILA ROSA;CAMPO GRANDE;MS;Diesel S10;3.6000;15/04/2019
47;01392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO;624;;BEIRA RIO;CATAGUASES;MG;Gasolina C Comum;4.8500;17/04/2019
48;01392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO;624;;BEIRA RIO;CATAGUASES;MG;Etanol;3.3000;17/04/2019
49;01392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO;624;;BEIRA RIO;CATAGUASES;MG;Diesel S500;3.7000;17/04/2019
50;01392476000188;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO;624;;BEIRA RIO;CATAGUASES;MG;Diesel S10;3.8000;17/04/2019
51;01416988000137;POSTO 10;RODOVIA BR 343 KM 10;S/N;;RODOVIA;TERESINA;PI;Gasolina C Comum;4.6000;20/04/2019
52;01416988000137;POSTO 10;RODOVIA BR 343 KM 10;S/N;;RODOVIA;TERESINA;PI;Diesel S500;3.6000;20/04/2019
53;01416988000137;POSTO 10;RODOVIA BR 343 KM 10;S/N;;RODOVIA;TERESINA;PI;Diesel S10;3.7000;20/04/2019
54;01416988000137;POSTO 10;RODOVIA BR 343 KM 10;S/N;;RODOVIA;TERESINA;PI;Etanol;3.8000;20/04/2019
55;01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108;SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Gasolina C Comum;4.6900;18/03/2019
56;01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108;SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Diesel S500;3.4300;07/03/2019
57;01443559000159;ROGER SOUZA DA SILVA - EPP;ESTRADA BR 293 KM 108;SN;;ZONA URBANA;PINHEIRO MACHADO;RS;Diesel S10;3.5400;07/03/2019
58;01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262;S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Gasolina C Comum;4.6500;11/07/2018
59;01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262;S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Etanol;3.4600;11/07/2018
60;01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262;S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Diesel S500;3.3500;11/07/2018
61;01574763000109;AUTO POSTO MUTUM LTDA;RODOVIA BR 262;S/N;KM 175;ZONA RURAL;RIBAS DO RIO PARDO;MS;Diesel S10;3.4100;11/07/2018
62;01828198000169;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER;877;;CURUMIN;CAPAO DA CANOA;RS;Gasolina C Comum;4.6900;21/04/2019
63;01828198000169;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER;877;;CURUMIN;CAPAO DA CANOA;RS;Diesel S500;3.3900;21/04/2019
64;01828198000169;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER;877;;CURUMIN;CAPAO DA CANOA;RS;Diesel S10;3.4900;21/04/2019
65;01828198000169;POSTO DE SERVICOS CIDADE DO MAR;AVENIDA EDGAR SCHENEIDER;877;;CURUMIN;CAPAO DA CANOA;RS;Etanol;4.6900;21/04/2019
66;01935272000146;POSTOS MOURA;RODOVIA BR 232;204;KM 182;SANTO ANTONIO;BELO JARDIM;PE;Gasolina C Comum;4.4400;04/07/2018
67;01935272000146;POSTOS MOURA;RODOVIA BR 232;204;KM 182;SANTO ANTONIO;BELO JARDIM;PE;Etanol;3.5000;04/07/2018
68;01935272000146;POSTOS MOURA;RODOVIA BR 232;204;KM 182;SANTO ANTONIO;BELO JARDIM;PE;Diesel S500;3.3700;04/07/2018
69;01935272000146;POSTOS MOURA;RODOVIA BR 232;204;KM 182;SANTO ANTONIO;BELO JARDIM;PE;Diesel S10;3.3900;04/07/2018
70;02056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367;S/N;KM 278;ZONA RURAL;ARACUAI;MG;Gasolina C Comum;5.4800;16/10/2018
71;02056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367;S/N;KM 278;ZONA RURAL;ARACUAI;MG;Etanol;3.4800;16/10/2018
72;02056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367;S/N;KM 278;ZONA RURAL;ARACUAI;MG;Diesel S500;4.0700;16/10/2018
73;02056229000173;POSTO FRANKLIN REZENDE LTDA;RODOVIA MG 367;S/N;KM 278;ZONA RURAL;ARACUAI;MG;Diesel S10;4.1200;16/10/2018
74;02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS;2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;Gasolina C Comum;4.1000;23/01/2019
75;02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS;2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;Etanol;2.8000;29/01/2019
76;02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS;2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;Diesel S500;3.6000;23/01/2019
77;02078330000125;SAO MARTINHO AUTO SERVICE LTDA;AVENIDA SAO JOSE DOS CAMPOS;2500;;LOTEAMENTO PARQUE SAO MARTINHO;CAMPINAS;SP;Diesel S10;3.7000;23/01/2019
78;02308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18;3536;;AGUAS CLARAS;VIAMAO;RS;Gasolina C Comum;4.7000;21/03/2019
79;02308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18;3536;;AGUAS CLARAS;VIAMAO;RS;Etanol;4.2000;21/03/2019
80;02308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18;3536;;AGUAS CLARAS;VIAMAO;RS;GNV;3.5000;21/03/2019
81;02308408000150;POSTO DE COMBUSTIVEL DA FIGUEIRA LTDA;RODOVIA RS 040 KM 18;3536;;AGUAS CLARAS;VIAMAO;RS;Diesel S500;3.5000;21/03/2019
